PRB1	PRB2	PRP1	PRP2	PRPD1	PRPD2
PRB1	1	0.948172134304697	-0.236857856236268	-0.216294905413969	-0.794425027106802	-0.768705545230783
PRB2	0.948172134304697	1	-0.222402861041777	-0.201117827672865	-0.807825867393967	-0.771437332802836
PRP1	-0.236857856236268	-0.222402861041777	1	0.985729953540735	-0.300426300403715	-0.36186083803729
PRP2	-0.216294905413969	-0.201117827672865	0.985729953540735	1	-0.320558847600294	-0.380518804802592
PRPD1	-0.794425027106802	-0.807825867393967	-0.300426300403715	-0.320558847600294	1	0.835163166794745
PRPD2	-0.768705545230783	-0.771437332802836	-0.36186083803729	-0.380518804802592	0.835163166794745	1
