PRB1	PRB2	PRP1	PRP2	PRPD1	PRPD2
PRB1	1	0.803210652508531	0.663532806368987	0.684816435190857	0.740435399331078	0.650172415705304
PRB2	0.803210652508531	1	0.578193059738746	0.64060380024421	0.638629261165891	0.735702939081909
PRP1	0.663532806368987	0.578193059738746	1	0.929253590663556	0.79978736917873	0.651411239495568
PRP2	0.684816435190857	0.64060380024421	0.929253590663556	1	0.827949452527187	0.714429724686609
PRPD1	0.740435399331078	0.638629261165891	0.79978736917873	0.827949452527187	1	0.901286131016285
PRPD2	0.650172415705304	0.735702939081909	0.651411239495568	0.714429724686609	0.901286131016285	1
