tau	PRB	PRL	PRP	PRPD
TRINITY_DN241544_c3_g1	1	0	0	0	1
TRINITY_DN241745_c0_g2	1	0	0	0	1
TRINITY_DN241791_c0_g2	1	0	0	0	1
TRINITY_DN241791_c0_g3	1	0	0	0	1
TRINITY_DN241868_c0_g3	1	0	0	0	1
TRINITY_DN241912_c1_g1	1	0	0	0	1
TRINITY_DN242013_c1_g1	1	0	0	0	1
TRINITY_DN242104_c0_g2	1	0	0	0	1
TRINITY_DN242143_c0_g1	1	0	0	0	1
TRINITY_DN242337_c0_g1	1	0	0	0	1
TRINITY_DN242337_c0_g2	1	0	0	0	1
TRINITY_DN242427_c1_g2	1	0	0	0	1
TRINITY_DN242976_c0_g3	1	0	0	0	1
TRINITY_DN243200_c0_g1	1	0	0	0	1
TRINITY_DN243237_c0_g1	1	0	0	0	1
TRINITY_DN243606_c0_g1	1	0	0	0	1
TRINITY_DN244056_c1_g1	1	0	0	0	1
TRINITY_DN244166_c0_g1	1	0	0	0	1
TRINITY_DN244266_c0_g1	1	0	0	0	1
TRINITY_DN244339_c0_g1	1	0	0	0	1
TRINITY_DN244339_c0_g2	1	0	0	0	1
TRINITY_DN244397_c0_g3	1	0	0	0	1
TRINITY_DN244452_c1_g2	1	0	0	0	1
TRINITY_DN245106_c0_g1	1	0	0	0	1
TRINITY_DN245139_c0_g1	1	0	0	0	1
TRINITY_DN245275_c0_g1	1	0	0	0	1
TRINITY_DN245325_c1_g2	1	0	0	0	1
TRINITY_DN245449_c63_g60	1	0	0	0	1
TRINITY_DN245506_c0_g2	1	0	0	0	1
TRINITY_DN245607_c1_g1	1	0	0	0	1
TRINITY_DN245870_c0_g1	1	0	0	0	1
TRINITY_DN245887_c1_g6	1	0	0	0	1
TRINITY_DN245976_c0_g2	1	0	0	0	1
TRINITY_DN246231_c0_g1	1	0	0	0	1
TRINITY_DN246246_c0_g1	1	0	0	0	1
TRINITY_DN246285_c0_g1	1	0	0	0	1
TRINITY_DN246313_c1_g1	1	0	0	0	1
TRINITY_DN246441_c0_g3	1	0	0	0	1
TRINITY_DN246477_c0_g1	1	0	0	0	1
TRINITY_DN246562_c0_g1	1	0	0	0	1
TRINITY_DN246706_c59_g43	1	0	0	0	1
TRINITY_DN246706_c59_g52	1	0	0	0	1
TRINITY_DN246706_c59_g78	1	0	0	0	1
TRINITY_DN246752_c7_g1	1	0	0	0	1
TRINITY_DN246828_c2_g1	1	0	0	0	1
TRINITY_DN246835_c0_g1	1	0	0	0	1
TRINITY_DN246870_c2_g22	1	0	0	0	1
TRINITY_DN247005_c0_g1	1	0	0	0	1
TRINITY_DN247193_c0_g1	1	0	0	0	1
TRINITY_DN247250_c0_g1	1	0	0	0	1
TRINITY_DN247251_c0_g1	1	0	0	0	1
TRINITY_DN247325_c0_g1	1	0	0	0	1
TRINITY_DN247325_c0_g2	1	0	0	0	1
TRINITY_DN247339_c0_g1	1	0	0	0	1
TRINITY_DN247376_c0_g2	1	0	0	0	1
TRINITY_DN247611_c0_g1	1	0	0	0	1
TRINITY_DN247627_c0_g1	1	0	0	0	1
TRINITY_DN247935_c4_g1	1	0	0	0	1
TRINITY_DN247947_c0_g1	1	0	0	0	1
TRINITY_DN247975_c0_g1	1	0	0	0	1
TRINITY_DN248014_c0_g1	1	0	0	0	1
TRINITY_DN248364_c0_g2	1	0	0	0	1
TRINITY_DN248377_c0_g1	1	0	0	0	1
TRINITY_DN248514_c0_g1	1	0	0	0	1
TRINITY_DN248560_c0_g1	1	0	0	0	1
TRINITY_DN248594_c0_g1	1	0	0	0	1
TRINITY_DN248799_c1_g1	1	0	0	0	1
TRINITY_DN248839_c0_g2	1	0	0	0	1
TRINITY_DN248940_c0_g2	1	0	0	0	1
TRINITY_DN249071_c0_g2	1	0	0	0	1
TRINITY_DN249074_c22_g1	1	0	0	0	1
TRINITY_DN249115_c1_g2	1	0	0	0	1
TRINITY_DN249216_c0_g1	1	0	0	0	1
TRINITY_DN249243_c0_g3	1	0	0	0	1
TRINITY_DN249282_c0_g1	1	0	0	0	1
TRINITY_DN249331_c0_g1	1	0	0	0	1
TRINITY_DN249331_c0_g2	1	0	0	0	1
TRINITY_DN249412_c2_g4	1	0	0	0	1
TRINITY_DN249460_c4_g25	1	0	0	0	1
TRINITY_DN249571_c0_g1	1	0	0	0	1
TRINITY_DN249595_c0_g1	1	0	0	0	1
TRINITY_DN249697_c0_g1	1	0	0	0	1
TRINITY_DN249697_c0_g2	1	0	0	0	1
TRINITY_DN249875_c0_g1	1	0	0	0	1
TRINITY_DN249888_c1_g1	1	0	0	0	1
TRINITY_DN249896_c0_g1	1	0	0	0	1
TRINITY_DN249913_c0_g1	1	0	0	0	1
TRINITY_DN249944_c0_g1	1	0	0	0	1
TRINITY_DN249968_c0_g1	1	0	0	0	1
TRINITY_DN250037_c0_g1	1	0	0	0	1
TRINITY_DN250045_c75_g119	1	0	0	0	1
TRINITY_DN250123_c0_g1	1	0	0	0	1
TRINITY_DN250133_c0_g1	1	0	0	0	1
TRINITY_DN250166_c0_g2	1	0	0	0	1
TRINITY_DN250180_c0_g1	1	0	0	0	1
TRINITY_DN250191_c1_g1	1	0	0	0	1
TRINITY_DN250281_c0_g1	1	0	0	0	1
TRINITY_DN250300_c0_g1	1	0	0	0	1
TRINITY_DN250402_c0_g1	1	0	0	0	1
TRINITY_DN250529_c0_g1	1	0	0	0	1
TRINITY_DN250535_c0_g1	1	0	0	0	1
TRINITY_DN250542_c0_g1	1	0	0	0	1
TRINITY_DN250642_c0_g1	1	0	0	0	1
