"","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"99","Component","GO:0110165",139,13776,3702,"3702.AT1G01550.1,3702.AT1G03870.1,3702.AT1G08090.1,3702.AT1G08465.1,3702.AT1G08510.1,3702.AT1G08630.1,3702.AT1G09070.1,3702.AT1G09140.1,3702.AT1G10200.1,3702.AT1G10550.1,3702.AT1G12950.1,3702.AT1G14720.1,3702.AT1G15110.2,3702.AT1G19180.1,3702.AT1G19920.1,3702.AT1G22020.1,3702.AT1G23080.1,3702.AT1G24100.1,3702.AT1G25220.2,3702.AT1G32170.1,3702.AT1G36370.1,3702.AT1G42540.1,3702.AT1G44170.2,3702.AT1G63930.1,3702.AT1G64230.5,3702.AT1G64660.1,3702.AT1G64900.1,3702.AT1G66150.1,3702.AT1G67290.1,3702.AT1G68090.1,3702.AT1G69500.1,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G72160.1,3702.AT1G75390.1,3702.AT1G76180.1,3702.AT1G78140.1,3702.AT1G79600.1,3702.AT2G01420.2,3702.AT2G01670.1,3702.AT2G03590.1,3702.AT2G07050.1,3702.AT2G14960.1,3702.AT2G15620.1,3702.AT2G16120.1,3702.AT2G22500.1,3702.AT2G25110.1,3702.AT2G25930.1,3702.AT2G28200.1,3702.AT2G29150.1,3702.AT2G34770.1,3702.AT2G35940.3,3702.AT2G36830.1,3702.AT2G43020.1,3702.AT3G01120.1,3702.AT3G01220.1,3702.AT3G03470.1,3702.AT3G05610.1,3702.AT3G05970.1,3702.AT3G06130.1,3702.AT3G08860.1,3702.AT3G10330.1,3702.AT3G16150.1,3702.AT3G18040.1,3702.AT3G18830.1,3702.AT3G20770.1,3702.AT3G21180.1,3702.AT3G23920.1,3702.AT3G25690.2,3702.AT3G26300.1,3702.AT3G28917.1,3702.AT3G30390.2,3702.AT3G49430.3,3702.AT3G51550.1,3702.AT3G51860.1,3702.AT3G51895.1,3702.AT3G54500.3,3702.AT3G58680.1,3702.AT3G59050.1,3702.AT3G61600.1,3702.AT4G02380.1,3702.AT4G02430.2,3702.AT4G02890.3,3702.AT4G05050.2,3702.AT4G08350.1,3702.AT4G13250.1,3702.AT4G14130.1,3702.AT4G14540.1,3702.AT4G15250.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G18990.1,3702.AT4G19010.1,3702.AT4G19170.1,3702.AT4G22260.1,3702.AT4G22890.1,3702.AT4G25810.1,3702.AT4G26160.1,3702.AT4G27130.1,3702.AT4G29900.1,3702.AT4G30200.2,3702.AT4G30960.1,3702.AT4G34260.1,3702.AT4G34350.1,3702.AT4G35100.2,3702.AT4G35290.2,3702.AT4G37470.1,3702.AT4G37760.1,3702.AT4G38400.1,3702.AT4G38460.1,3702.AT5G04340.1,3702.AT5G10770.1,3702.AT5G15580.1,3702.AT5G18080.1,3702.AT5G18670.1,3702.AT5G19770.1,3702.AT5G19780.1,3702.AT5G19855.1,3702.AT5G20410.1,3702.AT5G24470.1,3702.AT5G26751.1,3702.AT5G27600.1,3702.AT5G38030.1,3702.AT5G39865.1,3702.AT5G41670.2,3702.AT5G43700.1,3702.AT5G47240.1,3702.AT5G48230.2,3702.AT5G49180.1,3702.AT5G49630.1,3702.AT5G50100.1,3702.AT5G52510.1,3702.AT5G54380.1,3702.AT5G56170.1,3702.AT5G57110.2,3702.AT5G57660.1,3702.AT5G62680.1,3702.AT5G63970.1,3702.AT5G65980.1","BPS1,FLA9,NRT2:1,YAB2,FATB,THA1,SRC2,SR30,WLIM1,XTH33,DTX31,XTH28,PSS1,JAZ1,MET3-1,SHM6,PIN7,UGT74B1,ASB1,XTH30,SHM7,GLR3.3,ALDH3H1,ROH1,UBC28,MGL,CYP89A2,TMK1,GLOX1,ANN5,CYP704B1,AT1G70810,PIN3,AT1G72160,bZIP44,ERD14,AT1G78140,AT1G79600,PIN4,NUDT17,UPS1,CAS1,GH3.1,NIR1,PMT1,UCP5,SDF2,ELF3,AT2G28200,AT2G29150,T29F13.2,BLH1,GAMMA-TIP,PAO2,MTO1,HB20,CYP89A9,AT3G05610,LACS6,AT3G06130,PYD4,AT3G10330,ASPGB1,MPK9,PMT5,EIN3,ACA9,TRBAMY,CHUP1,CYP71B34,MIF2,AT3G30390,SR34a,FER,CAX3,SULTR3;1,AT3G54500,MBF1B,PAO3,POB1,SAG21,SR34b,UBQ14,UBQ11,GTA2,NYC1,XTH15,NF-YB3,BBX9,SWEET17,BIN2,XTH29,AT4G19010,NCED4,IM,PGRL1A,XTR6,ACHT1,AT4G27130,ACA10,VEL1,SIP3,FUC95A,HDR,PIP3,GLUR2,KAI2,SQE3,EXLA2,GGR,ZAT6,AT5G10770,LNG1,SAUR24,BMY3,TUA3,TUA5,RbcX2,MGD2,PRR5,F2P16.21,LACS7,AT5G38030,AT5G39865,AT5G41670,ATAUX2-11,NUDT8,ACAT2,AT5G49180,AAP6,AT5G50100,SCL8,THE1,LLG1,At5g57110,COL5,GTR2,RGLG3,AT5G65980",1.44e-25,1.18e-22,"Cellular anatomical entity"
"100","Component","GO:0005622",111,10863,3702,"3702.AT1G01550.1,3702.AT1G03870.1,3702.AT1G08090.1,3702.AT1G08465.1,3702.AT1G08510.1,3702.AT1G08630.1,3702.AT1G09070.1,3702.AT1G09140.1,3702.AT1G10200.1,3702.AT1G12950.1,3702.AT1G15110.2,3702.AT1G19180.1,3702.AT1G19920.1,3702.AT1G22020.1,3702.AT1G23080.1,3702.AT1G24100.1,3702.AT1G25220.2,3702.AT1G36370.1,3702.AT1G44170.2,3702.AT1G64230.5,3702.AT1G64660.1,3702.AT1G66150.1,3702.AT1G68090.1,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G72160.1,3702.AT1G75390.1,3702.AT1G76180.1,3702.AT1G78140.1,3702.AT1G79600.1,3702.AT2G01420.2,3702.AT2G01670.1,3702.AT2G07050.1,3702.AT2G14960.1,3702.AT2G15620.1,3702.AT2G22500.1,3702.AT2G25110.1,3702.AT2G25930.1,3702.AT2G28200.1,3702.AT2G29150.1,3702.AT2G34770.1,3702.AT2G35940.3,3702.AT2G36830.1,3702.AT2G43020.1,3702.AT3G01120.1,3702.AT3G01220.1,3702.AT3G03470.1,3702.AT3G05970.1,3702.AT3G08860.1,3702.AT3G10330.1,3702.AT3G16150.1,3702.AT3G18040.1,3702.AT3G20770.1,3702.AT3G21180.1,3702.AT3G23920.1,3702.AT3G25690.2,3702.AT3G28917.1,3702.AT3G30390.2,3702.AT3G49430.3,3702.AT3G51860.1,3702.AT3G51895.1,3702.AT3G54500.3,3702.AT3G58680.1,3702.AT3G59050.1,3702.AT3G61600.1,3702.AT4G02380.1,3702.AT4G02430.2,3702.AT4G02890.3,3702.AT4G05050.2,3702.AT4G08350.1,3702.AT4G13250.1,3702.AT4G14540.1,3702.AT4G15250.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G19010.1,3702.AT4G19170.1,3702.AT4G22260.1,3702.AT4G22890.1,3702.AT4G25810.1,3702.AT4G26160.1,3702.AT4G27130.1,3702.AT4G29900.1,3702.AT4G30200.2,3702.AT4G30960.1,3702.AT4G34350.1,3702.AT4G35100.2,3702.AT4G37470.1,3702.AT4G37760.1,3702.AT4G38460.1,3702.AT5G04340.1,3702.AT5G15580.1,3702.AT5G18670.1,3702.AT5G19770.1,3702.AT5G19780.1,3702.AT5G19855.1,3702.AT5G20410.1,3702.AT5G24470.1,3702.AT5G26751.1,3702.AT5G27600.1,3702.AT5G38030.1,3702.AT5G41670.2,3702.AT5G43700.1,3702.AT5G47240.1,3702.AT5G48230.2,3702.AT5G50100.1,3702.AT5G52510.1,3702.AT5G56170.1,3702.AT5G57110.2,3702.AT5G57660.1,3702.AT5G63970.1","BPS1,FLA9,NRT2:1,YAB2,FATB,THA1,SRC2,SR30,WLIM1,DTX31,PSS1,JAZ1,MET3-1,SHM6,PIN7,UGT74B1,ASB1,SHM7,ALDH3H1,UBC28,MGL,TMK1,ANN5,AT1G70810,PIN3,AT1G72160,bZIP44,ERD14,AT1G78140,AT1G79600,PIN4,NUDT17,CAS1,GH3.1,NIR1,UCP5,SDF2,ELF3,AT2G28200,AT2G29150,T29F13.2,BLH1,GAMMA-TIP,PAO2,MTO1,HB20,CYP89A9,LACS6,PYD4,AT3G10330,ASPGB1,MPK9,EIN3,ACA9,TRBAMY,CHUP1,MIF2,AT3G30390,SR34a,CAX3,SULTR3;1,AT3G54500,MBF1B,PAO3,POB1,SAG21,SR34b,UBQ14,UBQ11,GTA2,NYC1,NF-YB3,BBX9,SWEET17,BIN2,AT4G19010,NCED4,IM,PGRL1A,XTR6,ACHT1,AT4G27130,ACA10,VEL1,SIP3,HDR,PIP3,KAI2,SQE3,GGR,ZAT6,LNG1,BMY3,TUA3,TUA5,RbcX2,MGD2,PRR5,F2P16.21,LACS7,AT5G38030,AT5G41670,ATAUX2-11,NUDT8,ACAT2,AT5G50100,SCL8,LLG1,At5g57110,COL5,RGLG3",9e-16,3.68e-13,"Intracellular"
"101","Component","GO:0005737",89,7911,3702,"3702.AT1G01550.1,3702.AT1G03870.1,3702.AT1G08090.1,3702.AT1G08510.1,3702.AT1G08630.1,3702.AT1G09070.1,3702.AT1G09140.1,3702.AT1G10200.1,3702.AT1G12950.1,3702.AT1G19920.1,3702.AT1G22020.1,3702.AT1G23080.1,3702.AT1G24100.1,3702.AT1G25220.2,3702.AT1G36370.1,3702.AT1G44170.2,3702.AT1G64660.1,3702.AT1G68090.1,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G72160.1,3702.AT1G76180.1,3702.AT1G78140.1,3702.AT1G79600.1,3702.AT2G01420.2,3702.AT2G01670.1,3702.AT2G07050.1,3702.AT2G14960.1,3702.AT2G15620.1,3702.AT2G22500.1,3702.AT2G25110.1,3702.AT2G29150.1,3702.AT2G34770.1,3702.AT2G35940.3,3702.AT2G36830.1,3702.AT2G43020.1,3702.AT3G01120.1,3702.AT3G03470.1,3702.AT3G05970.1,3702.AT3G08860.1,3702.AT3G10330.1,3702.AT3G16150.1,3702.AT3G18040.1,3702.AT3G23920.1,3702.AT3G25690.2,3702.AT3G28917.1,3702.AT3G30390.2,3702.AT3G49430.3,3702.AT3G51860.1,3702.AT3G51895.1,3702.AT3G58680.1,3702.AT3G59050.1,3702.AT4G02380.1,3702.AT4G02890.3,3702.AT4G05050.2,3702.AT4G13250.1,3702.AT4G14540.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G19010.1,3702.AT4G19170.1,3702.AT4G22260.1,3702.AT4G22890.1,3702.AT4G25810.1,3702.AT4G26160.1,3702.AT4G27130.1,3702.AT4G30960.1,3702.AT4G34350.1,3702.AT4G35100.2,3702.AT4G37470.1,3702.AT4G37760.1,3702.AT4G38460.1,3702.AT5G15580.1,3702.AT5G18670.1,3702.AT5G19770.1,3702.AT5G19780.1,3702.AT5G19855.1,3702.AT5G20410.1,3702.AT5G26751.1,3702.AT5G27600.1,3702.AT5G38030.1,3702.AT5G41670.2,3702.AT5G47240.1,3702.AT5G48230.2,3702.AT5G50100.1,3702.AT5G52510.1,3702.AT5G56170.1,3702.AT5G57110.2,3702.AT5G63970.1","BPS1,FLA9,NRT2:1,FATB,THA1,SRC2,SR30,WLIM1,DTX31,MET3-1,SHM6,PIN7,UGT74B1,ASB1,SHM7,ALDH3H1,MGL,ANN5,AT1G70810,PIN3,AT1G72160,ERD14,AT1G78140,AT1G79600,PIN4,NUDT17,CAS1,GH3.1,NIR1,UCP5,SDF2,AT2G29150,T29F13.2,BLH1,GAMMA-TIP,PAO2,MTO1,CYP89A9,LACS6,PYD4,AT3G10330,ASPGB1,MPK9,TRBAMY,CHUP1,MIF2,AT3G30390,SR34a,CAX3,SULTR3;1,MBF1B,PAO3,SAG21,UBQ14,UBQ11,NYC1,NF-YB3,SWEET17,BIN2,AT4G19010,NCED4,IM,PGRL1A,XTR6,ACHT1,AT4G27130,SIP3,HDR,PIP3,KAI2,SQE3,GGR,LNG1,BMY3,TUA3,TUA5,RbcX2,MGD2,F2P16.21,LACS7,AT5G38030,AT5G41670,NUDT8,ACAT2,AT5G50100,SCL8,LLG1,At5g57110,RGLG3",1.44e-13,3.94e-11,"Cytoplasm"
"102","Component","GO:0043226",101,9930,3702,"3702.AT1G01550.1,3702.AT1G03870.1,3702.AT1G08090.1,3702.AT1G08465.1,3702.AT1G08510.1,3702.AT1G09070.1,3702.AT1G09140.1,3702.AT1G10200.1,3702.AT1G12950.1,3702.AT1G15110.2,3702.AT1G19180.1,3702.AT1G19920.1,3702.AT1G23080.1,3702.AT1G24100.1,3702.AT1G25220.2,3702.AT1G36370.1,3702.AT1G44170.2,3702.AT1G64230.5,3702.AT1G66150.1,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G75390.1,3702.AT1G76180.1,3702.AT1G78140.1,3702.AT1G79600.1,3702.AT2G01420.2,3702.AT2G01670.1,3702.AT2G07050.1,3702.AT2G15620.1,3702.AT2G22500.1,3702.AT2G25110.1,3702.AT2G25930.1,3702.AT2G28200.1,3702.AT2G29150.1,3702.AT2G34770.1,3702.AT2G35940.3,3702.AT2G36830.1,3702.AT2G43020.1,3702.AT3G01120.1,3702.AT3G01220.1,3702.AT3G03470.1,3702.AT3G05970.1,3702.AT3G08860.1,3702.AT3G10330.1,3702.AT3G18040.1,3702.AT3G20770.1,3702.AT3G21180.1,3702.AT3G23920.1,3702.AT3G25690.2,3702.AT3G28917.1,3702.AT3G30390.2,3702.AT3G49430.3,3702.AT3G51860.1,3702.AT3G51895.1,3702.AT3G54500.3,3702.AT3G58680.1,3702.AT3G59050.1,3702.AT3G61600.1,3702.AT4G02380.1,3702.AT4G02430.2,3702.AT4G02890.3,3702.AT4G05050.2,3702.AT4G08350.1,3702.AT4G13250.1,3702.AT4G14540.1,3702.AT4G15250.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G19010.1,3702.AT4G19170.1,3702.AT4G22260.1,3702.AT4G22890.1,3702.AT4G25810.1,3702.AT4G26160.1,3702.AT4G29900.1,3702.AT4G30200.2,3702.AT4G30960.1,3702.AT4G34350.1,3702.AT4G35100.2,3702.AT4G37470.1,3702.AT4G37760.1,3702.AT4G38460.1,3702.AT5G04340.1,3702.AT5G15580.1,3702.AT5G19770.1,3702.AT5G19780.1,3702.AT5G19855.1,3702.AT5G20410.1,3702.AT5G24470.1,3702.AT5G27600.1,3702.AT5G38030.1,3702.AT5G41670.2,3702.AT5G43700.1,3702.AT5G48230.2,3702.AT5G50100.1,3702.AT5G52510.1,3702.AT5G56170.1,3702.AT5G57110.2,3702.AT5G57660.1,3702.AT5G63970.1,3702.AT5G65980.1","BPS1,FLA9,NRT2:1,YAB2,FATB,SRC2,SR30,WLIM1,DTX31,PSS1,JAZ1,MET3-1,PIN7,UGT74B1,ASB1,SHM7,ALDH3H1,UBC28,TMK1,AT1G70810,PIN3,bZIP44,ERD14,AT1G78140,AT1G79600,PIN4,NUDT17,CAS1,NIR1,UCP5,SDF2,ELF3,AT2G28200,AT2G29150,T29F13.2,BLH1,GAMMA-TIP,PAO2,MTO1,HB20,CYP89A9,LACS6,PYD4,AT3G10330,MPK9,EIN3,ACA9,TRBAMY,CHUP1,MIF2,AT3G30390,SR34a,CAX3,SULTR3;1,AT3G54500,MBF1B,PAO3,POB1,SAG21,SR34b,UBQ14,UBQ11,GTA2,NYC1,NF-YB3,BBX9,SWEET17,BIN2,AT4G19010,NCED4,IM,PGRL1A,XTR6,ACHT1,ACA10,VEL1,SIP3,HDR,PIP3,KAI2,SQE3,GGR,ZAT6,LNG1,TUA3,TUA5,RbcX2,MGD2,PRR5,LACS7,AT5G38030,AT5G41670,ATAUX2-11,ACAT2,AT5G50100,SCL8,LLG1,At5g57110,COL5,RGLG3,AT5G65980",2.99e-13,6.12e-11,"Organelle"
"103","Component","GO:0043227",98,9634,3702,"3702.AT1G01550.1,3702.AT1G03870.1,3702.AT1G08090.1,3702.AT1G08465.1,3702.AT1G08510.1,3702.AT1G09070.1,3702.AT1G09140.1,3702.AT1G12950.1,3702.AT1G15110.2,3702.AT1G19180.1,3702.AT1G19920.1,3702.AT1G23080.1,3702.AT1G24100.1,3702.AT1G25220.2,3702.AT1G36370.1,3702.AT1G44170.2,3702.AT1G64230.5,3702.AT1G66150.1,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G75390.1,3702.AT1G76180.1,3702.AT1G78140.1,3702.AT1G79600.1,3702.AT2G01420.2,3702.AT2G01670.1,3702.AT2G07050.1,3702.AT2G15620.1,3702.AT2G22500.1,3702.AT2G25110.1,3702.AT2G25930.1,3702.AT2G28200.1,3702.AT2G29150.1,3702.AT2G34770.1,3702.AT2G35940.3,3702.AT2G36830.1,3702.AT2G43020.1,3702.AT3G01120.1,3702.AT3G01220.1,3702.AT3G03470.1,3702.AT3G05970.1,3702.AT3G08860.1,3702.AT3G10330.1,3702.AT3G18040.1,3702.AT3G20770.1,3702.AT3G21180.1,3702.AT3G23920.1,3702.AT3G25690.2,3702.AT3G28917.1,3702.AT3G30390.2,3702.AT3G49430.3,3702.AT3G51860.1,3702.AT3G51895.1,3702.AT3G54500.3,3702.AT3G58680.1,3702.AT3G59050.1,3702.AT3G61600.1,3702.AT4G02380.1,3702.AT4G02430.2,3702.AT4G02890.3,3702.AT4G05050.2,3702.AT4G08350.1,3702.AT4G13250.1,3702.AT4G14540.1,3702.AT4G15250.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G19010.1,3702.AT4G19170.1,3702.AT4G22260.1,3702.AT4G22890.1,3702.AT4G25810.1,3702.AT4G26160.1,3702.AT4G29900.1,3702.AT4G30200.2,3702.AT4G30960.1,3702.AT4G34350.1,3702.AT4G35100.2,3702.AT4G37470.1,3702.AT4G37760.1,3702.AT4G38460.1,3702.AT5G04340.1,3702.AT5G15580.1,3702.AT5G19855.1,3702.AT5G20410.1,3702.AT5G24470.1,3702.AT5G27600.1,3702.AT5G38030.1,3702.AT5G41670.2,3702.AT5G43700.1,3702.AT5G48230.2,3702.AT5G50100.1,3702.AT5G52510.1,3702.AT5G56170.1,3702.AT5G57110.2,3702.AT5G57660.1,3702.AT5G63970.1,3702.AT5G65980.1","BPS1,FLA9,NRT2:1,YAB2,FATB,SRC2,SR30,DTX31,PSS1,JAZ1,MET3-1,PIN7,UGT74B1,ASB1,SHM7,ALDH3H1,UBC28,TMK1,AT1G70810,PIN3,bZIP44,ERD14,AT1G78140,AT1G79600,PIN4,NUDT17,CAS1,NIR1,UCP5,SDF2,ELF3,AT2G28200,AT2G29150,T29F13.2,BLH1,GAMMA-TIP,PAO2,MTO1,HB20,CYP89A9,LACS6,PYD4,AT3G10330,MPK9,EIN3,ACA9,TRBAMY,CHUP1,MIF2,AT3G30390,SR34a,CAX3,SULTR3;1,AT3G54500,MBF1B,PAO3,POB1,SAG21,SR34b,UBQ14,UBQ11,GTA2,NYC1,NF-YB3,BBX9,SWEET17,BIN2,AT4G19010,NCED4,IM,PGRL1A,XTR6,ACHT1,ACA10,VEL1,SIP3,HDR,PIP3,KAI2,SQE3,GGR,ZAT6,LNG1,RbcX2,MGD2,PRR5,LACS7,AT5G38030,AT5G41670,ATAUX2-11,ACAT2,AT5G50100,SCL8,LLG1,At5g57110,COL5,RGLG3,AT5G65980",1.26e-12,2.06e-10,"Membrane-bounded organelle"
"104","Component","GO:0043229",99,9831,3702,"3702.AT1G01550.1,3702.AT1G03870.1,3702.AT1G08090.1,3702.AT1G08465.1,3702.AT1G08510.1,3702.AT1G09070.1,3702.AT1G09140.1,3702.AT1G10200.1,3702.AT1G12950.1,3702.AT1G15110.2,3702.AT1G19180.1,3702.AT1G19920.1,3702.AT1G23080.1,3702.AT1G24100.1,3702.AT1G25220.2,3702.AT1G36370.1,3702.AT1G44170.2,3702.AT1G64230.5,3702.AT1G66150.1,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G75390.1,3702.AT1G76180.1,3702.AT1G78140.1,3702.AT1G79600.1,3702.AT2G01420.2,3702.AT2G01670.1,3702.AT2G07050.1,3702.AT2G15620.1,3702.AT2G22500.1,3702.AT2G25110.1,3702.AT2G25930.1,3702.AT2G28200.1,3702.AT2G29150.1,3702.AT2G34770.1,3702.AT2G35940.3,3702.AT2G36830.1,3702.AT2G43020.1,3702.AT3G01120.1,3702.AT3G01220.1,3702.AT3G05970.1,3702.AT3G08860.1,3702.AT3G10330.1,3702.AT3G18040.1,3702.AT3G20770.1,3702.AT3G21180.1,3702.AT3G23920.1,3702.AT3G25690.2,3702.AT3G28917.1,3702.AT3G30390.2,3702.AT3G49430.3,3702.AT3G51860.1,3702.AT3G51895.1,3702.AT3G54500.3,3702.AT3G58680.1,3702.AT3G59050.1,3702.AT3G61600.1,3702.AT4G02380.1,3702.AT4G02430.2,3702.AT4G02890.3,3702.AT4G05050.2,3702.AT4G08350.1,3702.AT4G13250.1,3702.AT4G14540.1,3702.AT4G15250.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G19010.1,3702.AT4G19170.1,3702.AT4G22260.1,3702.AT4G22890.1,3702.AT4G25810.1,3702.AT4G26160.1,3702.AT4G29900.1,3702.AT4G30200.2,3702.AT4G30960.1,3702.AT4G34350.1,3702.AT4G35100.2,3702.AT4G37470.1,3702.AT4G37760.1,3702.AT4G38460.1,3702.AT5G04340.1,3702.AT5G15580.1,3702.AT5G19770.1,3702.AT5G19780.1,3702.AT5G19855.1,3702.AT5G20410.1,3702.AT5G24470.1,3702.AT5G27600.1,3702.AT5G38030.1,3702.AT5G41670.2,3702.AT5G43700.1,3702.AT5G48230.2,3702.AT5G50100.1,3702.AT5G52510.1,3702.AT5G56170.1,3702.AT5G57110.2,3702.AT5G57660.1,3702.AT5G63970.1","BPS1,FLA9,NRT2:1,YAB2,FATB,SRC2,SR30,WLIM1,DTX31,PSS1,JAZ1,MET3-1,PIN7,UGT74B1,ASB1,SHM7,ALDH3H1,UBC28,TMK1,AT1G70810,PIN3,bZIP44,ERD14,AT1G78140,AT1G79600,PIN4,NUDT17,CAS1,NIR1,UCP5,SDF2,ELF3,AT2G28200,AT2G29150,T29F13.2,BLH1,GAMMA-TIP,PAO2,MTO1,HB20,LACS6,PYD4,AT3G10330,MPK9,EIN3,ACA9,TRBAMY,CHUP1,MIF2,AT3G30390,SR34a,CAX3,SULTR3;1,AT3G54500,MBF1B,PAO3,POB1,SAG21,SR34b,UBQ14,UBQ11,GTA2,NYC1,NF-YB3,BBX9,SWEET17,BIN2,AT4G19010,NCED4,IM,PGRL1A,XTR6,ACHT1,ACA10,VEL1,SIP3,HDR,PIP3,KAI2,SQE3,GGR,ZAT6,LNG1,TUA3,TUA5,RbcX2,MGD2,PRR5,LACS7,AT5G38030,AT5G41670,ATAUX2-11,ACAT2,AT5G50100,SCL8,LLG1,At5g57110,COL5,RGLG3",1.56e-12,2.13e-10,"Intracellular organelle"
"105","Component","GO:0043231",95,9376,3702,"3702.AT1G01550.1,3702.AT1G08090.1,3702.AT1G08465.1,3702.AT1G08510.1,3702.AT1G09070.1,3702.AT1G09140.1,3702.AT1G12950.1,3702.AT1G15110.2,3702.AT1G19180.1,3702.AT1G19920.1,3702.AT1G23080.1,3702.AT1G24100.1,3702.AT1G25220.2,3702.AT1G36370.1,3702.AT1G44170.2,3702.AT1G64230.5,3702.AT1G66150.1,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G75390.1,3702.AT1G76180.1,3702.AT1G78140.1,3702.AT1G79600.1,3702.AT2G01420.2,3702.AT2G01670.1,3702.AT2G07050.1,3702.AT2G15620.1,3702.AT2G22500.1,3702.AT2G25110.1,3702.AT2G25930.1,3702.AT2G28200.1,3702.AT2G29150.1,3702.AT2G34770.1,3702.AT2G35940.3,3702.AT2G36830.1,3702.AT2G43020.1,3702.AT3G01120.1,3702.AT3G01220.1,3702.AT3G05970.1,3702.AT3G08860.1,3702.AT3G10330.1,3702.AT3G18040.1,3702.AT3G20770.1,3702.AT3G21180.1,3702.AT3G23920.1,3702.AT3G25690.2,3702.AT3G28917.1,3702.AT3G30390.2,3702.AT3G49430.3,3702.AT3G51860.1,3702.AT3G51895.1,3702.AT3G54500.3,3702.AT3G58680.1,3702.AT3G59050.1,3702.AT3G61600.1,3702.AT4G02380.1,3702.AT4G02430.2,3702.AT4G02890.3,3702.AT4G05050.2,3702.AT4G08350.1,3702.AT4G13250.1,3702.AT4G14540.1,3702.AT4G15250.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G19010.1,3702.AT4G19170.1,3702.AT4G22260.1,3702.AT4G22890.1,3702.AT4G25810.1,3702.AT4G26160.1,3702.AT4G29900.1,3702.AT4G30200.2,3702.AT4G30960.1,3702.AT4G34350.1,3702.AT4G35100.2,3702.AT4G37470.1,3702.AT4G37760.1,3702.AT4G38460.1,3702.AT5G04340.1,3702.AT5G15580.1,3702.AT5G19855.1,3702.AT5G20410.1,3702.AT5G24470.1,3702.AT5G27600.1,3702.AT5G38030.1,3702.AT5G41670.2,3702.AT5G43700.1,3702.AT5G48230.2,3702.AT5G50100.1,3702.AT5G52510.1,3702.AT5G56170.1,3702.AT5G57110.2,3702.AT5G57660.1,3702.AT5G63970.1","BPS1,NRT2:1,YAB2,FATB,SRC2,SR30,DTX31,PSS1,JAZ1,MET3-1,PIN7,UGT74B1,ASB1,SHM7,ALDH3H1,UBC28,TMK1,AT1G70810,PIN3,bZIP44,ERD14,AT1G78140,AT1G79600,PIN4,NUDT17,CAS1,NIR1,UCP5,SDF2,ELF3,AT2G28200,AT2G29150,T29F13.2,BLH1,GAMMA-TIP,PAO2,MTO1,HB20,LACS6,PYD4,AT3G10330,MPK9,EIN3,ACA9,TRBAMY,CHUP1,MIF2,AT3G30390,SR34a,CAX3,SULTR3;1,AT3G54500,MBF1B,PAO3,POB1,SAG21,SR34b,UBQ14,UBQ11,GTA2,NYC1,NF-YB3,BBX9,SWEET17,BIN2,AT4G19010,NCED4,IM,PGRL1A,XTR6,ACHT1,ACA10,VEL1,SIP3,HDR,PIP3,KAI2,SQE3,GGR,ZAT6,LNG1,RbcX2,MGD2,PRR5,LACS7,AT5G38030,AT5G41670,ATAUX2-11,ACAT2,AT5G50100,SCL8,LLG1,At5g57110,COL5,RGLG3",6.39e-12,7.48e-10,"Intracellular membrane-bounded organelle"
