tau	PRB	PRL	PRP	PRPD
TRINITY_DN196336_c0_g1	1	1	0	0	0
TRINITY_DN196560_c0_g1	1	1	0	0	0
TRINITY_DN197953_c0_g1	1	1	0	0	0
TRINITY_DN198443_c0_g1	1	1	0	0	0
TRINITY_DN198609_c0_g2	1	1	0	0	0
TRINITY_DN198870_c2_g16	1	1	0	0	0
TRINITY_DN199717_c0_g6	1	1	0	0	0
TRINITY_DN200436_c0_g1	1	1	0	0	0
TRINITY_DN200436_c0_g2	1	1	0	0	0
TRINITY_DN200649_c0_g2	1	1	0	0	0
TRINITY_DN202795_c0_g1	1	1	0	0	0
TRINITY_DN202795_c0_g2	1	1	0	0	0
TRINITY_DN204476_c0_g1	1	1	0	0	0
TRINITY_DN204502_c0_g1	1	1	0	0	0
TRINITY_DN204502_c0_g2	1	1	0	0	0
TRINITY_DN20502_c0_g1	1	1	0	0	0
TRINITY_DN205402_c0_g1	1	1	0	0	0
TRINITY_DN205642_c0_g1	1	1	0	0	0
TRINITY_DN205642_c0_g3	1	1	0	0	0
TRINITY_DN205750_c0_g1	1	1	0	0	0
TRINITY_DN206858_c0_g2	1	1	0	0	0
TRINITY_DN206864_c0_g1	1	1	0	0	0
TRINITY_DN207411_c0_g1	1	1	0	0	0
TRINITY_DN207411_c0_g3	1	1	0	0	0
TRINITY_DN207494_c0_g1	1	1	0	0	0
TRINITY_DN209194_c0_g3	1	1	0	0	0
TRINITY_DN209489_c0_g1	1	1	0	0	0
TRINITY_DN209535_c0_g3	1	1	0	0	0
TRINITY_DN209767_c0_g1	1	1	0	0	0
TRINITY_DN210612_c0_g1	1	1	0	0	0
TRINITY_DN211293_c0_g1	1	1	0	0	0
TRINITY_DN211415_c0_g3	1	1	0	0	0
TRINITY_DN211725_c0_g3	1	1	0	0	0
TRINITY_DN212067_c0_g1	1	1	0	0	0
TRINITY_DN212187_c0_g1	1	1	0	0	0
TRINITY_DN212703_c0_g1	1	1	0	0	0
TRINITY_DN212703_c0_g2	1	1	0	0	0
TRINITY_DN212804_c0_g2	1	1	0	0	0
TRINITY_DN213527_c0_g2	1	1	0	0	0
TRINITY_DN213538_c0_g1	1	1	0	0	0
TRINITY_DN213863_c3_g1	1	1	0	0	0
TRINITY_DN213863_c3_g2	1	1	0	0	0
TRINITY_DN214091_c1_g1	1	1	0	0	0
TRINITY_DN214170_c0_g3	1	1	0	0	0
TRINITY_DN214471_c0_g1	1	1	0	0	0
TRINITY_DN214486_c0_g1	1	1	0	0	0
TRINITY_DN215011_c0_g1	1	1	0	0	0
TRINITY_DN215566_c0_g1	1	1	0	0	0
TRINITY_DN215725_c0_g1	1	1	0	0	0
TRINITY_DN215725_c0_g2	1	1	0	0	0
TRINITY_DN216185_c0_g1	1	1	0	0	0
TRINITY_DN216185_c0_g2	1	1	0	0	0
TRINITY_DN216434_c0_g4	1	1	0	0	0
TRINITY_DN216616_c0_g4	1	1	0	0	0
TRINITY_DN216737_c0_g2	1	1	0	0	0
TRINITY_DN216782_c0_g3	1	1	0	0	0
TRINITY_DN217142_c0_g2	1	1	0	0	0
TRINITY_DN217468_c0_g1	1	1	0	0	0
TRINITY_DN217869_c0_g1	1	1	0	0	0
TRINITY_DN218005_c0_g1	1	1	0	0	0
TRINITY_DN218044_c0_g1	1	1	0	0	0
TRINITY_DN218563_c0_g2	1	1	0	0	0
TRINITY_DN218828_c0_g1	1	1	0	0	0
TRINITY_DN219007_c1_g1	1	1	0	0	0
TRINITY_DN219173_c0_g5	1	1	0	0	0
TRINITY_DN219313_c0_g2	1	1	0	0	0
TRINITY_DN219883_c0_g1	1	1	0	0	0
TRINITY_DN219988_c0_g1	1	1	0	0	0
TRINITY_DN220177_c0_g4	1	1	0	0	0
TRINITY_DN220237_c0_g1	1	1	0	0	0
TRINITY_DN220286_c0_g1	1	1	0	0	0
TRINITY_DN221074_c0_g3	1	1	0	0	0
TRINITY_DN221657_c0_g2	1	1	0	0	0
TRINITY_DN221810_c0_g1	1	1	0	0	0
TRINITY_DN221810_c0_g2	1	1	0	0	0
TRINITY_DN222206_c0_g1	1	1	0	0	0
TRINITY_DN222277_c0_g1	1	1	0	0	0
TRINITY_DN222456_c0_g1	1	1	0	0	0
TRINITY_DN222487_c0_g3	1	1	0	0	0
TRINITY_DN222524_c0_g5	1	1	0	0	0
TRINITY_DN223097_c0_g9	1	1	0	0	0
TRINITY_DN223544_c0_g1	1	1	0	0	0
TRINITY_DN223627_c1_g1	1	1	0	0	0
TRINITY_DN224220_c1_g1	1	1	0	0	0
TRINITY_DN224289_c0_g1	1	1	0	0	0
TRINITY_DN224289_c0_g2	1	1	0	0	0
TRINITY_DN224289_c0_g3	1	1	0	0	0
TRINITY_DN224753_c0_g1	1	1	0	0	0
TRINITY_DN224957_c0_g1	1	1	0	0	0
TRINITY_DN225037_c0_g1	1	1	0	0	0
TRINITY_DN225796_c0_g1	1	1	0	0	0
TRINITY_DN226595_c0_g1	1	1	0	0	0
TRINITY_DN226686_c0_g1	1	1	0	0	0
TRINITY_DN226714_c0_g1	1	1	0	0	0
TRINITY_DN226909_c0_g7	1	1	0	0	0
TRINITY_DN226924_c0_g1	1	1	0	0	0
TRINITY_DN227181_c0_g2	1	1	0	0	0
TRINITY_DN227244_c0_g3	1	1	0	0	0
TRINITY_DN227356_c0_g1	1	1	0	0	0
TRINITY_DN227603_c1_g3	1	1	0	0	0
TRINITY_DN227990_c0_g1	1	1	0	0	0
TRINITY_DN228016_c0_g1	1	1	0	0	0
TRINITY_DN228063_c0_g4	1	1	0	0	0
TRINITY_DN228265_c0_g1	1	1	0	0	0
TRINITY_DN228265_c0_g2	1	1	0	0	0
TRINITY_DN228614_c0_g1	1	1	0	0	0
TRINITY_DN228735_c0_g2	1	1	0	0	0
TRINITY_DN229216_c1_g30	1	1	0	0	0
TRINITY_DN229233_c0_g2	1	1	0	0	0
TRINITY_DN229668_c0_g1	1	1	0	0	0
TRINITY_DN229680_c0_g4	1	1	0	0	0
TRINITY_DN230482_c0_g1	1	1	0	0	0
TRINITY_DN230482_c0_g2	1	1	0	0	0
TRINITY_DN230482_c0_g3	1	1	0	0	0
TRINITY_DN230547_c0_g1	1	1	0	0	0
TRINITY_DN230821_c1_g7	1	1	0	0	0
TRINITY_DN230951_c0_g4	1	1	0	0	0
TRINITY_DN230974_c0_g1	1	1	0	0	0
TRINITY_DN231142_c1_g3	1	1	0	0	0
TRINITY_DN231266_c0_g1	1	1	0	0	0
TRINITY_DN231443_c0_g1	1	1	0	0	0
TRINITY_DN231738_c0_g14	1	1	0	0	0
TRINITY_DN232085_c1_g1	1	1	0	0	0
TRINITY_DN232353_c0_g1	1	1	0	0	0
TRINITY_DN232495_c0_g1	1	1	0	0	0
TRINITY_DN232637_c0_g1	1	1	0	0	0
TRINITY_DN232687_c0_g1	1	1	0	0	0
TRINITY_DN232889_c0_g1	1	1	0	0	0
TRINITY_DN232920_c0_g1	1	1	0	0	0
TRINITY_DN233084_c0_g1	1	1	0	0	0
TRINITY_DN233085_c0_g1	1	1	0	0	0
TRINITY_DN233148_c0_g4	1	1	0	0	0
TRINITY_DN233168_c1_g1	1	1	0	0	0
TRINITY_DN233459_c0_g1	1	1	0	0	0
TRINITY_DN233476_c0_g3	1	1	0	0	0
TRINITY_DN233482_c0_g1	1	1	0	0	0
TRINITY_DN233698_c0_g1	1	1	0	0	0
TRINITY_DN233797_c0_g3	1	1	0	0	0
TRINITY_DN233879_c0_g1	1	1	0	0	0
TRINITY_DN233892_c0_g1	1	1	0	0	0
TRINITY_DN233970_c0_g1	1	1	0	0	0
TRINITY_DN234048_c1_g4	1	1	0	0	0
TRINITY_DN234069_c0_g2	1	1	0	0	0
TRINITY_DN234160_c1_g9	1	1	0	0	0
TRINITY_DN234190_c0_g1	1	1	0	0	0
TRINITY_DN234193_c0_g1	1	1	0	0	0
TRINITY_DN234282_c0_g1	1	1	0	0	0
TRINITY_DN234290_c0_g1	1	1	0	0	0
TRINITY_DN23434_c0_g1	1	1	0	0	0
TRINITY_DN23434_c0_g2	1	1	0	0	0
