tau	PRB	PRP	PRPD
TRINITY_DN228250_c0_g1	1	0	0	1
TRINITY_DN228770_c0_g1	1	0	0	1
TRINITY_DN229769_c1_g2	1	0	0	1
TRINITY_DN230111_c0_g2	1	0	0	1
TRINITY_DN230593_c0_g1	1	0	0	1
TRINITY_DN230734_c3_g12	1	0	0	1
TRINITY_DN230734_c3_g4	1	0	0	1
TRINITY_DN230821_c1_g6	1	0	0	1
TRINITY_DN230873_c0_g1	1	0	0	1
TRINITY_DN230951_c0_g1	1	0	0	1
TRINITY_DN230951_c0_g2	1	0	0	1
TRINITY_DN231086_c0_g1	1	0	0	1
TRINITY_DN231175_c0_g1	1	0	0	1
TRINITY_DN231500_c1_g1	1	0	0	1
TRINITY_DN232068_c1_g1	1	0	0	1
TRINITY_DN232620_c0_g3	1	0	0	1
TRINITY_DN232694_c0_g1	1	0	0	1
TRINITY_DN232792_c0_g1	1	0	0	1
TRINITY_DN233014_c0_g1	1	0	0	1
TRINITY_DN233059_c0_g2	1	0	0	1
TRINITY_DN233085_c0_g3	1	0	0	1
TRINITY_DN233153_c0_g1	1	0	0	1
TRINITY_DN233263_c2_g16	1	0	0	1
TRINITY_DN233958_c0_g1	1	0	0	1
TRINITY_DN233958_c0_g2	1	0	0	1
TRINITY_DN234048_c1_g3	1	0	0	1
TRINITY_DN234290_c0_g1	1	0	0	1
TRINITY_DN234309_c0_g1	1	0	0	1
TRINITY_DN234380_c1_g1	1	0	0	1
TRINITY_DN234401_c0_g1	1	0	0	1
TRINITY_DN234451_c0_g1	1	0	0	1
TRINITY_DN234732_c0_g2	1	0	0	1
TRINITY_DN235058_c0_g1	1	0	0	1
TRINITY_DN235186_c0_g1	1	0	0	1
TRINITY_DN235186_c0_g2	1	0	0	1
TRINITY_DN235222_c0_g2	1	0	0	1
TRINITY_DN235417_c0_g2	1	0	0	1
TRINITY_DN235417_c0_g4	1	0	0	1
TRINITY_DN235574_c0_g1	1	0	0	1
TRINITY_DN235696_c0_g2	1	0	0	1
TRINITY_DN235823_c0_g1	1	0	0	1
TRINITY_DN235823_c0_g7	1	0	0	1
TRINITY_DN235933_c1_g1	1	0	0	1
TRINITY_DN235933_c2_g1	1	0	0	1
TRINITY_DN236407_c1_g6	1	0	0	1
TRINITY_DN236460_c0_g6	1	0	0	1
TRINITY_DN236460_c0_g7	1	0	0	1
TRINITY_DN236893_c0_g6	1	0	0	1
TRINITY_DN236893_c0_g8	1	0	0	1
TRINITY_DN237120_c1_g1	1	0	0	1
TRINITY_DN237132_c0_g3	1	0	0	1
TRINITY_DN237357_c0_g1	1	0	0	1
TRINITY_DN237375_c0_g2	1	0	0	1
TRINITY_DN237450_c0_g6	1	0	0	1
TRINITY_DN237469_c1_g7	1	0	0	1
TRINITY_DN237515_c0_g2	1	0	0	1
TRINITY_DN237527_c0_g1	1	0	0	1
TRINITY_DN238172_c1_g3	1	0	0	1
TRINITY_DN238203_c0_g1	1	0	0	1
TRINITY_DN238314_c0_g1	1	0	0	1
TRINITY_DN238328_c0_g1	1	0	0	1
TRINITY_DN238383_c0_g1	1	0	0	1
TRINITY_DN238653_c0_g1	1	0	0	1
TRINITY_DN238740_c0_g1	1	0	0	1
TRINITY_DN238849_c0_g1	1	0	0	1
TRINITY_DN238895_c3_g2	1	0	0	1
TRINITY_DN238895_c3_g4	1	0	0	1
TRINITY_DN238895_c4_g1	1	0	0	1
TRINITY_DN238952_c0_g1	1	0	0	1
TRINITY_DN239008_c0_g1	1	0	0	1
TRINITY_DN239063_c0_g6	1	0	0	1
TRINITY_DN239089_c0_g2	1	0	0	1
TRINITY_DN239325_c0_g1	1	0	0	1
TRINITY_DN239406_c0_g2	1	0	0	1
TRINITY_DN239468_c0_g1	1	0	0	1
TRINITY_DN239702_c0_g1	1	0	0	1
TRINITY_DN239727_c0_g1	1	0	0	1
TRINITY_DN239815_c1_g1	1	0	0	1
TRINITY_DN239824_c0_g3	1	0	0	1
TRINITY_DN23989_c0_g1	1	0	0	1
TRINITY_DN239946_c0_g1	1	0	0	1
TRINITY_DN240049_c0_g2	1	0	0	1
TRINITY_DN240135_c0_g1	1	0	0	1
TRINITY_DN240179_c0_g1	1	0	0	1
TRINITY_DN240375_c0_g1	1	0	0	1
TRINITY_DN240704_c0_g3	1	0	0	1
TRINITY_DN240914_c0_g4	1	0	0	1
TRINITY_DN241119_c0_g1	1	0	0	1
TRINITY_DN241127_c0_g1	1	0	0	1
TRINITY_DN241165_c0_g2	1	0	0	1
TRINITY_DN241257_c0_g1	1	0	0	1
TRINITY_DN241257_c1_g1	1	0	0	1
TRINITY_DN241504_c0_g1	1	0	0	1
TRINITY_DN241544_c3_g1	1	0	0	1
TRINITY_DN241745_c0_g2	1	0	0	1
TRINITY_DN241791_c0_g2	1	0	0	1
TRINITY_DN241791_c0_g3	1	0	0	1
TRINITY_DN241868_c0_g1	1	0	0	1
TRINITY_DN241868_c0_g3	1	0	0	1
TRINITY_DN241890_c0_g1	1	0	0	1
TRINITY_DN241912_c1_g1	1	0	0	1
TRINITY_DN242013_c1_g1	1	0	0	1
TRINITY_DN242013_c1_g3	1	0	0	1
TRINITY_DN242104_c0_g2	1	0	0	1
TRINITY_DN242143_c0_g1	1	0	0	1
TRINITY_DN242294_c1_g1	1	0	0	1
TRINITY_DN242337_c0_g1	1	0	0	1
TRINITY_DN242427_c1_g2	1	0	0	1
TRINITY_DN242555_c0_g1	1	0	0	1
TRINITY_DN242620_c0_g1	1	0	0	1
TRINITY_DN242976_c0_g3	1	0	0	1
TRINITY_DN243157_c1_g5	1	0	0	1
TRINITY_DN243200_c0_g1	1	0	0	1
TRINITY_DN243237_c0_g1	1	0	0	1
TRINITY_DN243384_c0_g1	1	0	0	1
TRINITY_DN243606_c0_g1	1	0	0	1
TRINITY_DN244056_c1_g1	1	0	0	1
TRINITY_DN244166_c0_g1	1	0	0	1
TRINITY_DN244266_c0_g1	1	0	0	1
TRINITY_DN244339_c0_g1	1	0	0	1
TRINITY_DN244339_c0_g2	1	0	0	1
