tau	PRB	PRL	PRP	PRPD
TRINITY_DN100783_c0_g1	1	0	1	0	0
TRINITY_DN100791_c0_g1	1	0	1	0	0
TRINITY_DN100797_c0_g1	1	0	1	0	0
TRINITY_DN100804_c0_g1	1	0	1	0	0
TRINITY_DN100808_c0_g1	1	0	1	0	0
TRINITY_DN10081_c0_g1	1	0	1	0	0
TRINITY_DN100817_c0_g1	1	0	1	0	0
TRINITY_DN100821_c0_g1	1	0	1	0	0
TRINITY_DN100822_c0_g1	1	0	1	0	0
TRINITY_DN100825_c0_g1	1	0	1	0	0
TRINITY_DN10083_c0_g1	1	0	1	0	0
TRINITY_DN100833_c0_g1	1	0	1	0	0
TRINITY_DN100835_c0_g1	1	0	1	0	0
TRINITY_DN10085_c0_g1	1	0	1	0	0
TRINITY_DN100850_c0_g1	1	0	1	0	0
TRINITY_DN100851_c0_g1	1	0	1	0	0
TRINITY_DN100860_c0_g1	1	0	1	0	0
TRINITY_DN100868_c0_g1	1	0	1	0	0
TRINITY_DN100882_c0_g1	1	0	1	0	0
TRINITY_DN100889_c0_g1	1	0	1	0	0
TRINITY_DN10092_c0_g1	1	0	1	0	0
TRINITY_DN100925_c0_g1	1	0	1	0	0
TRINITY_DN100929_c0_g1	1	0	1	0	0
TRINITY_DN100933_c0_g1	1	0	1	0	0
TRINITY_DN100936_c0_g1	1	0	1	0	0
TRINITY_DN100941_c0_g1	1	0	1	0	0
TRINITY_DN100944_c0_g1	1	0	1	0	0
TRINITY_DN100946_c0_g1	1	0	1	0	0
TRINITY_DN100949_c0_g1	1	0	1	0	0
TRINITY_DN10095_c0_g1	1	0	1	0	0
TRINITY_DN100951_c0_g1	1	0	1	0	0
TRINITY_DN100956_c0_g1	1	0	1	0	0
TRINITY_DN100961_c0_g1	1	0	1	0	0
TRINITY_DN100961_c0_g2	1	0	1	0	0
TRINITY_DN100961_c1_g1	1	0	1	0	0
TRINITY_DN100977_c0_g1	1	0	1	0	0
TRINITY_DN100979_c0_g1	1	0	1	0	0
TRINITY_DN10098_c0_g1	1	0	1	0	0
TRINITY_DN100983_c0_g1	1	0	1	0	0
TRINITY_DN100986_c0_g1	1	0	1	0	0
TRINITY_DN100987_c0_g1	1	0	1	0	0
TRINITY_DN100998_c0_g1	1	0	1	0	0
TRINITY_DN101002_c0_g1	1	0	1	0	0
TRINITY_DN101004_c0_g1	1	0	1	0	0
TRINITY_DN101004_c1_g1	1	0	1	0	0
TRINITY_DN101015_c0_g1	1	0	1	0	0
TRINITY_DN101018_c0_g1	1	0	1	0	0
TRINITY_DN101029_c0_g1	1	0	1	0	0
TRINITY_DN101031_c0_g1	1	0	1	0	0
TRINITY_DN101035_c0_g1	1	0	1	0	0
TRINITY_DN10104_c0_g1	1	0	1	0	0
TRINITY_DN101042_c0_g1	1	0	1	0	0
