tau	PRB	PRP	PRPD
TRINITY_DN216782_c0_g3	1	1	0	0
TRINITY_DN216805_c0_g4	1	1	0	0
TRINITY_DN217079_c0_g4	1	1	0	0
TRINITY_DN217142_c0_g2	1	1	0	0
TRINITY_DN217869_c0_g1	1	1	0	0
TRINITY_DN218005_c0_g1	1	1	0	0
TRINITY_DN218044_c0_g1	1	1	0	0
TRINITY_DN218053_c0_g1	1	1	0	0
TRINITY_DN218409_c0_g1	1	1	0	0
TRINITY_DN218411_c0_g1	1	1	0	0
TRINITY_DN218806_c0_g2	1	1	0	0
TRINITY_DN218828_c0_g1	1	1	0	0
TRINITY_DN218896_c18_g3	1	1	0	0
TRINITY_DN219007_c1_g1	1	1	0	0
TRINITY_DN219292_c0_g1	1	1	0	0
TRINITY_DN219313_c0_g2	1	1	0	0
TRINITY_DN219544_c0_g1	1	1	0	0
TRINITY_DN219883_c0_g1	1	1	0	0
TRINITY_DN220176_c0_g1	1	1	0	0
TRINITY_DN220286_c0_g1	1	1	0	0
TRINITY_DN222206_c0_g1	1	1	0	0
TRINITY_DN222277_c0_g1	1	1	0	0
TRINITY_DN222456_c0_g1	1	1	0	0
TRINITY_DN222487_c0_g3	1	1	0	0
TRINITY_DN222524_c0_g1	1	1	0	0
TRINITY_DN222797_c0_g1	1	1	0	0
TRINITY_DN223097_c0_g9	1	1	0	0
TRINITY_DN223104_c0_g1	1	1	0	0
TRINITY_DN223544_c0_g1	1	1	0	0
TRINITY_DN223627_c1_g1	1	1	0	0
TRINITY_DN224289_c0_g1	1	1	0	0
TRINITY_DN224289_c0_g2	1	1	0	0
TRINITY_DN224521_c0_g2	1	1	0	0
TRINITY_DN224521_c0_g4	1	1	0	0
TRINITY_DN224750_c0_g2	1	1	0	0
TRINITY_DN224753_c0_g1	1	1	0	0
TRINITY_DN224957_c0_g1	1	1	0	0
TRINITY_DN225037_c0_g1	1	1	0	0
TRINITY_DN225334_c0_g1	1	1	0	0
TRINITY_DN225789_c0_g1	1	1	0	0
TRINITY_DN225796_c0_g1	1	1	0	0
TRINITY_DN226686_c0_g1	1	1	0	0
TRINITY_DN226949_c0_g1	1	1	0	0
TRINITY_DN227244_c0_g3	1	1	0	0
TRINITY_DN227356_c0_g1	1	1	0	0
TRINITY_DN227911_c0_g1	1	1	0	0
TRINITY_DN227990_c0_g1	1	1	0	0
TRINITY_DN228016_c0_g1	1	1	0	0
TRINITY_DN228063_c0_g4	1	1	0	0
TRINITY_DN228265_c0_g1	1	1	0	0
TRINITY_DN228265_c0_g2	1	1	0	0
TRINITY_DN228735_c0_g2	1	1	0	0
TRINITY_DN228770_c0_g2	1	1	0	0
TRINITY_DN229216_c1_g4	1	1	0	0
TRINITY_DN229668_c0_g1	1	1	0	0
TRINITY_DN229688_c9_g1	1	1	0	0
TRINITY_DN230482_c0_g1	1	1	0	0
TRINITY_DN230482_c0_g2	1	1	0	0
TRINITY_DN230482_c0_g3	1	1	0	0
TRINITY_DN230734_c3_g5	1	1	0	0
TRINITY_DN230734_c3_g8	1	1	0	0
TRINITY_DN231063_c1_g4	1	1	0	0
TRINITY_DN231266_c0_g1	1	1	0	0
TRINITY_DN231443_c0_g1	1	1	0	0
TRINITY_DN231730_c0_g3	1	1	0	0
TRINITY_DN232091_c0_g1	1	1	0	0
TRINITY_DN232637_c0_g1	1	1	0	0
TRINITY_DN232886_c0_g2	1	1	0	0
TRINITY_DN232889_c0_g1	1	1	0	0
TRINITY_DN233084_c0_g1	1	1	0	0
TRINITY_DN233085_c0_g1	1	1	0	0
TRINITY_DN233263_c2_g13	1	1	0	0
